properties.nombre,properties.libres,timestamp
Arcco,0,2022-01-23 17:12:47.334498
Atotxa,169,2022-01-23 17:12:47.334498
Boulevard,137,2022-01-23 17:12:47.334498
Buen Pastor,240,2022-01-23 17:12:47.334498
Easo,116,2022-01-23 17:12:47.334498
Estación,246,2022-01-23 17:12:47.334498
Illumbe,0,2022-01-23 17:12:47.334498
Katalunia,204,2022-01-23 17:12:47.334498
Kontxa,333,2022-01-23 17:12:47.334498
Kursaal,62,2022-01-23 17:12:47.334498
Okendo,418,2022-01-23 17:12:47.334498
Ondarreta,0,2022-01-23 17:12:47.334498
Pio XII,391,2022-01-23 17:12:47.334498
San Martin,224,2022-01-23 17:12:47.334498
Txofre,10,2022-01-23 17:12:47.334498
Zuatzu,0,2022-01-23 17:12:47.334498
Arcco,0,2022-01-23 17:20:05.771530
Atotxa,173,2022-01-23 17:20:05.771530
Boulevard,138,2022-01-23 17:20:05.771530
Buen Pastor,246,2022-01-23 17:20:05.771530
Easo,110,2022-01-23 17:20:05.771530
Estación,245,2022-01-23 17:20:05.771530
Illumbe,0,2022-01-23 17:20:05.771530
Katalunia,234,2022-01-23 17:20:05.771530
Kontxa,378,2022-01-23 17:20:05.771530
Kursaal,91,2022-01-23 17:20:05.771530
Okendo,447,2022-01-23 17:20:05.771530
Ondarreta,0,2022-01-23 17:20:05.771530
Pio XII,236,2022-01-23 17:20:05.771530
San Martin,221,2022-01-23 17:20:05.771530
Txofre,10,2022-01-23 17:20:05.771530
Zuatzu,0,2022-01-23 17:20:05.771530
Arcco,0,2022-01-23 18:21:48.575843
Atotxa,171,2022-01-23 18:21:48.575843
Boulevard,175,2022-01-23 18:21:48.575843
Buen Pastor,267,2022-01-23 18:21:48.575843
Easo,116,2022-01-23 18:21:48.575843
Estación,241,2022-01-23 18:21:48.575843
Illumbe,0,2022-01-23 18:21:48.575843
Katalunia,277,2022-01-23 18:21:48.575843
Kontxa,443,2022-01-23 18:21:48.575843
Kursaal,143,2022-01-23 18:21:48.575843
Okendo,484,2022-01-23 18:21:48.575843
Ondarreta,0,2022-01-23 18:21:48.575843
Pio XII,240,2022-01-23 18:21:48.575843
San Martin,229,2022-01-23 18:21:48.575843
Txofre,10,2022-01-23 18:21:48.575843
Zuatzu,0,2022-01-23 18:21:48.575843
Arcco,0,2022-01-23 19:14:33.615715
Atotxa,178,2022-01-23 19:14:33.615715
Boulevard,223,2022-01-23 19:14:33.615715
Buen Pastor,279,2022-01-23 19:14:33.615715
Easo,115,2022-01-23 19:14:33.615715
Estación,254,2022-01-23 19:14:33.615715
Illumbe,0,2022-01-23 19:14:33.615715
Katalunia,293,2022-01-23 19:14:33.615715
Kontxa,486,2022-01-23 19:14:33.615715
Kursaal,150,2022-01-23 19:14:33.615715
Okendo,512,2022-01-23 19:14:33.615715
Ondarreta,0,2022-01-23 19:14:33.615715
Pio XII,246,2022-01-23 19:14:33.615715
San Martin,236,2022-01-23 19:14:33.615715
Txofre,10,2022-01-23 19:14:33.615715
Zuatzu,0,2022-01-23 19:14:33.615715
Arcco,0,2022-01-23 20:19:39.599826
Atotxa,178,2022-01-23 20:19:39.599826
Boulevard,269,2022-01-23 20:19:39.599826
Buen Pastor,285,2022-01-23 20:19:39.599826
Easo,140,2022-01-23 20:19:39.599826
Estación,286,2022-01-23 20:19:39.599826
Illumbe,0,2022-01-23 20:19:39.599826
Katalunia,311,2022-01-23 20:19:39.599826
Kontxa,509,2022-01-23 20:19:39.599826
Kursaal,137,2022-01-23 20:19:39.599826
Okendo,542,2022-01-23 20:19:39.599826
Ondarreta,0,2022-01-23 20:19:39.599826
Pio XII,384,2022-01-23 20:19:39.599826
San Martin,247,2022-01-23 20:19:39.599826
Txofre,10,2022-01-23 20:19:39.599826
Zuatzu,0,2022-01-23 20:19:39.599826
Arcco,0,2022-01-23 21:17:05.756645
Atotxa,180,2022-01-23 21:17:05.756645
Boulevard,293,2022-01-23 21:17:05.756645
Buen Pastor,293,2022-01-23 21:17:05.756645
Easo,147,2022-01-23 21:17:05.756645
Estación,305,2022-01-23 21:17:05.756645
Illumbe,0,2022-01-23 21:17:05.756645
Katalunia,336,2022-01-23 21:17:05.756645
Kontxa,532,2022-01-23 21:17:05.756645
Kursaal,138,2022-01-23 21:17:05.756645
Okendo,546,2022-01-23 21:17:05.756645
Ondarreta,0,2022-01-23 21:17:05.756645
Pio XII,485,2022-01-23 21:17:05.756645
San Martin,252,2022-01-23 21:17:05.756645
Txofre,10,2022-01-23 21:17:05.756645
Zuatzu,0,2022-01-23 21:17:05.756645
Arcco,0,2022-01-23 22:18:47.719429
Atotxa,180,2022-01-23 22:18:47.719429
Boulevard,319,2022-01-23 22:18:47.719429
Buen Pastor,319,2022-01-23 22:18:47.719429
Easo,148,2022-01-23 22:18:47.719429
Estación,316,2022-01-23 22:18:47.719429
Illumbe,0,2022-01-23 22:18:47.719429
Katalunia,366,2022-01-23 22:18:47.719429
Kontxa,541,2022-01-23 22:18:47.719429
Kursaal,183,2022-01-23 22:18:47.719429
Okendo,556,2022-01-23 22:18:47.719429
Ondarreta,0,2022-01-23 22:18:47.719429
Pio XII,468,2022-01-23 22:18:47.719429
San Martin,257,2022-01-23 22:18:47.719429
Txofre,10,2022-01-23 22:18:47.719429
Zuatzu,0,2022-01-23 22:18:47.719429
Arcco,0,2022-01-23 23:18:27.350437
Atotxa,178,2022-01-23 23:18:27.350437
Boulevard,329,2022-01-23 23:18:27.350437
Buen Pastor,326,2022-01-23 23:18:27.350437
Easo,153,2022-01-23 23:18:27.350437
Estación,324,2022-01-23 23:18:27.350437
Illumbe,0,2022-01-23 23:18:27.350437
Katalunia,370,2022-01-23 23:18:27.350437
Kontxa,546,2022-01-23 23:18:27.350437
Kursaal,186,2022-01-23 23:18:27.350437
Okendo,559,2022-01-23 23:18:27.350437
Ondarreta,0,2022-01-23 23:18:27.350437
Pio XII,470,2022-01-23 23:18:27.350437
San Martin,255,2022-01-23 23:18:27.350437
Txofre,10,2022-01-23 23:18:27.350437
Zuatzu,0,2022-01-23 23:18:27.350437
Arcco,0,2022-01-24 01:07:33.844728
Atotxa,179,2022-01-24 01:07:33.844728
Boulevard,339,2022-01-24 01:07:33.844728
Buen Pastor,330,2022-01-24 01:07:33.844728
Easo,153,2022-01-24 01:07:33.844728
Estación,324,2022-01-24 01:07:33.844728
Illumbe,0,2022-01-24 01:07:33.844728
Katalunia,374,2022-01-24 01:07:33.844728
Kontxa,553,2022-01-24 01:07:33.844728
Kursaal,188,2022-01-24 01:07:33.844728
Okendo,561,2022-01-24 01:07:33.844728
Ondarreta,0,2022-01-24 01:07:33.844728
Pio XII,470,2022-01-24 01:07:33.844728
San Martin,256,2022-01-24 01:07:33.844728
Txofre,10,2022-01-24 01:07:33.844728
Zuatzu,0,2022-01-24 01:07:33.844728
Arcco,0,2022-01-24 02:35:18.466444
Atotxa,179,2022-01-24 02:35:18.466444
Boulevard,341,2022-01-24 02:35:18.466444
Buen Pastor,330,2022-01-24 02:35:18.466444
Easo,153,2022-01-24 02:35:18.466444
Estación,324,2022-01-24 02:35:18.466444
Illumbe,0,2022-01-24 02:35:18.466444
Katalunia,375,2022-01-24 02:35:18.466444
Kontxa,562,2022-01-24 02:35:18.466444
Kursaal,188,2022-01-24 02:35:18.466444
Okendo,561,2022-01-24 02:35:18.466444
Ondarreta,0,2022-01-24 02:35:18.466444
Pio XII,471,2022-01-24 02:35:18.466444
San Martin,255,2022-01-24 02:35:18.466444
Txofre,10,2022-01-24 02:35:18.466444
Zuatzu,0,2022-01-24 02:35:18.466444
Arcco,0,2022-01-24 03:22:13.721110
Atotxa,179,2022-01-24 03:22:13.721110
Boulevard,341,2022-01-24 03:22:13.721110
Buen Pastor,330,2022-01-24 03:22:13.721110
Easo,153,2022-01-24 03:22:13.721110
Estación,324,2022-01-24 03:22:13.721110
Illumbe,0,2022-01-24 03:22:13.721110
Katalunia,375,2022-01-24 03:22:13.721110
Kontxa,562,2022-01-24 03:22:13.721110
Kursaal,188,2022-01-24 03:22:13.721110
Okendo,561,2022-01-24 03:22:13.721110
Ondarreta,0,2022-01-24 03:22:13.721110
Pio XII,471,2022-01-24 03:22:13.721110
San Martin,255,2022-01-24 03:22:13.721110
Txofre,10,2022-01-24 03:22:13.721110
Zuatzu,0,2022-01-24 03:22:13.721110
Arcco,0,2022-01-24 04:25:22.530157
Atotxa,179,2022-01-24 04:25:22.530157
Boulevard,340,2022-01-24 04:25:22.530157
Buen Pastor,330,2022-01-24 04:25:22.530157
Easo,155,2022-01-24 04:25:22.530157
Estación,323,2022-01-24 04:25:22.530157
Illumbe,0,2022-01-24 04:25:22.530157
Katalunia,376,2022-01-24 04:25:22.530157
Kontxa,562,2022-01-24 04:25:22.530157
Kursaal,188,2022-01-24 04:25:22.530157
Okendo,562,2022-01-24 04:25:22.530157
Ondarreta,0,2022-01-24 04:25:22.530157
Pio XII,471,2022-01-24 04:25:22.530157
San Martin,256,2022-01-24 04:25:22.530157
Txofre,10,2022-01-24 04:25:22.530157
Zuatzu,0,2022-01-24 04:25:22.530157
Arcco,0,2022-01-24 05:17:25.522169
Atotxa,178,2022-01-24 05:17:25.522169
Boulevard,337,2022-01-24 05:17:25.522169
Buen Pastor,328,2022-01-24 05:17:25.522169
Easo,154,2022-01-24 05:17:25.522169
Estación,319,2022-01-24 05:17:25.522169
Illumbe,0,2022-01-24 05:17:25.522169
Katalunia,377,2022-01-24 05:17:25.522169
Kontxa,562,2022-01-24 05:17:25.522169
Kursaal,187,2022-01-24 05:17:25.522169
Okendo,563,2022-01-24 05:17:25.522169
Ondarreta,0,2022-01-24 05:17:25.522169
Pio XII,471,2022-01-24 05:17:25.522169
San Martin,252,2022-01-24 05:17:25.522169
Txofre,10,2022-01-24 05:17:25.522169
Zuatzu,0,2022-01-24 05:17:25.522169
Arcco,0,2022-01-24 06:26:20.918915
Atotxa,179,2022-01-24 06:26:20.918915
Boulevard,339,2022-01-24 06:26:20.918915
Buen Pastor,333,2022-01-24 06:26:20.918915
Easo,159,2022-01-24 06:26:20.918915
Estación,312,2022-01-24 06:26:20.918915
Illumbe,0,2022-01-24 06:26:20.918915
Katalunia,378,2022-01-24 06:26:20.918915
Kontxa,560,2022-01-24 06:26:20.918915
Kursaal,185,2022-01-24 06:26:20.918915
Okendo,570,2022-01-24 06:26:20.918915
Ondarreta,0,2022-01-24 06:26:20.918915
Pio XII,471,2022-01-24 06:26:20.918915
San Martin,250,2022-01-24 06:26:20.918915
Txofre,10,2022-01-24 06:26:20.918915
Zuatzu,0,2022-01-24 06:26:20.918915
Arcco,0,2022-01-24 07:19:17.870078
Atotxa,167,2022-01-24 07:19:17.870078
Boulevard,332,2022-01-24 07:19:17.870078
Buen Pastor,330,2022-01-24 07:19:17.870078
Easo,157,2022-01-24 07:19:17.870078
Estación,309,2022-01-24 07:19:17.870078
Illumbe,0,2022-01-24 07:19:17.870078
Katalunia,367,2022-01-24 07:19:17.870078
Kontxa,553,2022-01-24 07:19:17.870078
Kursaal,188,2022-01-24 07:19:17.870078
Okendo,554,2022-01-24 07:19:17.870078
Ondarreta,0,2022-01-24 07:19:17.870078
Pio XII,471,2022-01-24 07:19:17.870078
San Martin,243,2022-01-24 07:19:17.870078
Txofre,10,2022-01-24 07:19:17.870078
Zuatzu,0,2022-01-24 07:19:17.870078
Arcco,0,2022-01-24 08:23:26.252288
Atotxa,115,2022-01-24 08:23:26.252288
Boulevard,277,2022-01-24 08:23:26.252288
Buen Pastor,281,2022-01-24 08:23:26.252288
Easo,137,2022-01-24 08:23:26.252288
Estación,291,2022-01-24 08:23:26.252288
Illumbe,0,2022-01-24 08:23:26.252288
Katalunia,312,2022-01-24 08:23:26.252288
Kontxa,503,2022-01-24 08:23:26.252288
Kursaal,167,2022-01-24 08:23:26.252288
Okendo,459,2022-01-24 08:23:26.252288
Ondarreta,0,2022-01-24 08:23:26.252288
Pio XII,468,2022-01-24 08:23:26.252288
San Martin,199,2022-01-24 08:23:26.252288
Txofre,10,2022-01-24 08:23:26.252288
Zuatzu,0,2022-01-24 08:23:26.252288
Arcco,0,2022-01-24 09:18:08.201160
Atotxa,84,2022-01-24 09:18:08.201160
Boulevard,228,2022-01-24 09:18:08.201160
Buen Pastor,203,2022-01-24 09:18:08.201160
Easo,108,2022-01-24 09:18:08.201160
Estación,275,2022-01-24 09:18:08.201160
Illumbe,0,2022-01-24 09:18:08.201160
Katalunia,259,2022-01-24 09:18:08.201160
Kontxa,472,2022-01-24 09:18:08.201160
Kursaal,154,2022-01-24 09:18:08.201160
Okendo,400,2022-01-24 09:18:08.201160
Ondarreta,0,2022-01-24 09:18:08.201160
Pio XII,443,2022-01-24 09:18:08.201160
San Martin,165,2022-01-24 09:18:08.201160
Txofre,10,2022-01-24 09:18:08.201160
Zuatzu,0,2022-01-24 09:18:08.201160
Arcco,0,2022-01-24 10:21:17.644427
Atotxa,98,2022-01-24 10:21:17.644427
Boulevard,182,2022-01-24 10:21:17.644427
Buen Pastor,146,2022-01-24 10:21:17.644427
Easo,83,2022-01-24 10:21:17.644427
Estación,262,2022-01-24 10:21:17.644427
Illumbe,0,2022-01-24 10:21:17.644427
Katalunia,189,2022-01-24 10:21:17.644427
Kontxa,435,2022-01-24 10:21:17.644427
Kursaal,149,2022-01-24 10:21:17.644427
Okendo,352,2022-01-24 10:21:17.644427
Ondarreta,0,2022-01-24 10:21:17.644427
Pio XII,450,2022-01-24 10:21:17.644427
San Martin,110,2022-01-24 10:21:17.644427
Txofre,10,2022-01-24 10:21:17.644427
Zuatzu,0,2022-01-24 10:21:17.644427
Arcco,0,2022-01-24 11:16:02.042947
Atotxa,84,2022-01-24 11:16:02.042947
Boulevard,151,2022-01-24 11:16:02.042947
Buen Pastor,133,2022-01-24 11:16:02.042947
Easo,76,2022-01-24 11:16:02.042947
Estación,252,2022-01-24 11:16:02.042947
Illumbe,0,2022-01-24 11:16:02.042947
Katalunia,168,2022-01-24 11:16:02.042947
Kontxa,415,2022-01-24 11:16:02.042947
Kursaal,139,2022-01-24 11:16:02.042947
Okendo,329,2022-01-24 11:16:02.042947
Ondarreta,0,2022-01-24 11:16:02.042947
Pio XII,455,2022-01-24 11:16:02.042947
San Martin,77,2022-01-24 11:16:02.042947
Txofre,10,2022-01-24 11:16:02.042947
Zuatzu,0,2022-01-24 11:16:02.042947
Arcco,0,2022-01-24 12:31:03.930721
Atotxa,93,2022-01-24 12:31:03.930721
Boulevard,182,2022-01-24 12:31:03.930721
Buen Pastor,175,2022-01-24 12:31:03.930721
Easo,92,2022-01-24 12:31:03.930721
Estación,249,2022-01-24 12:31:03.930721
Illumbe,0,2022-01-24 12:31:03.930721
Katalunia,225,2022-01-24 12:31:03.930721
Kontxa,402,2022-01-24 12:31:03.930721
Kursaal,134,2022-01-24 12:31:03.930721
Okendo,348,2022-01-24 12:31:03.930721
Ondarreta,0,2022-01-24 12:31:03.930721
Pio XII,451,2022-01-24 12:31:03.930721
San Martin,88,2022-01-24 12:31:03.930721
Txofre,10,2022-01-24 12:31:03.930721
Zuatzu,0,2022-01-24 12:31:03.930721
Arcco,0,2022-01-24 13:22:30.281596
Atotxa,120,2022-01-24 13:22:30.281596
Boulevard,194,2022-01-24 13:22:30.281596
Buen Pastor,213,2022-01-24 13:22:30.281596
Easo,125,2022-01-24 13:22:30.281596
Estación,263,2022-01-24 13:22:30.281596
Illumbe,0,2022-01-24 13:22:30.281596
Katalunia,253,2022-01-24 13:22:30.281596
Kontxa,418,2022-01-24 13:22:30.281596
Kursaal,137,2022-01-24 13:22:30.281596
Okendo,384,2022-01-24 13:22:30.281596
Ondarreta,0,2022-01-24 13:22:30.281596
Pio XII,462,2022-01-24 13:22:30.281596
San Martin,127,2022-01-24 13:22:30.281596
Txofre,10,2022-01-24 13:22:30.281596
Zuatzu,0,2022-01-24 13:22:30.281596
Arcco,0,2022-01-24 14:19:46.977958
Atotxa,139,2022-01-24 14:19:46.977958
Boulevard,216,2022-01-24 14:19:46.977958
Buen Pastor,229,2022-01-24 14:19:46.977958
Easo,132,2022-01-24 14:19:46.977958
Estación,267,2022-01-24 14:19:46.977958
Illumbe,0,2022-01-24 14:19:46.977958
Katalunia,269,2022-01-24 14:19:46.977958
Kontxa,454,2022-01-24 14:19:46.977958
Kursaal,145,2022-01-24 14:19:46.977958
Okendo,410,2022-01-24 14:19:46.977958
Ondarreta,0,2022-01-24 14:19:46.977958
Pio XII,469,2022-01-24 14:19:46.977958
San Martin,152,2022-01-24 14:19:46.977958
Txofre,10,2022-01-24 14:19:46.977958
Zuatzu,0,2022-01-24 14:19:46.977958
Arcco,0,2022-01-24 15:19:45.478042
Atotxa,138,2022-01-24 15:19:45.478042
Boulevard,209,2022-01-24 15:19:45.478042
Buen Pastor,214,2022-01-24 15:19:45.478042
Easo,111,2022-01-24 15:19:45.478042
Estación,255,2022-01-24 15:19:45.478042
Illumbe,0,2022-01-24 15:19:45.478042
Katalunia,245,2022-01-24 15:19:45.478042
Kontxa,440,2022-01-24 15:19:45.478042
Kursaal,151,2022-01-24 15:19:45.478042
Okendo,407,2022-01-24 15:19:45.478042
Ondarreta,0,2022-01-24 15:19:45.478042
Pio XII,464,2022-01-24 15:19:45.478042
San Martin,149,2022-01-24 15:19:45.478042
Txofre,10,2022-01-24 15:19:45.478042
Zuatzu,0,2022-01-24 15:19:45.478042
Arcco,0,2022-01-24 16:30:08.011554
Atotxa,131,2022-01-24 16:30:08.011554
Boulevard,188,2022-01-24 16:30:08.011554
Buen Pastor,144,2022-01-24 16:30:08.011554
Easo,80,2022-01-24 16:30:08.011554
Estación,243,2022-01-24 16:30:08.011554
Illumbe,0,2022-01-24 16:30:08.011554
Katalunia,190,2022-01-24 16:30:08.011554
Kontxa,419,2022-01-24 16:30:08.011554
Kursaal,147,2022-01-24 16:30:08.011554
Okendo,389,2022-01-24 16:30:08.011554
Ondarreta,0,2022-01-24 16:30:08.011554
Pio XII,466,2022-01-24 16:30:08.011554
San Martin,126,2022-01-24 16:30:08.011554
Txofre,10,2022-01-24 16:30:08.011554
Zuatzu,0,2022-01-24 16:30:08.011554
Arcco,0,2022-01-24 17:22:44.550882
Atotxa,112,2022-01-24 17:22:44.550882
Boulevard,195,2022-01-24 17:22:44.550882
Buen Pastor,128,2022-01-24 17:22:44.550882
Easo,77,2022-01-24 17:22:44.550882
Estación,231,2022-01-24 17:22:44.550882
Illumbe,0,2022-01-24 17:22:44.550882
Katalunia,184,2022-01-24 17:22:44.550882
Kontxa,417,2022-01-24 17:22:44.550882
Kursaal,151,2022-01-24 17:22:44.550882
Okendo,379,2022-01-24 17:22:44.550882
Ondarreta,0,2022-01-24 17:22:44.550882
Pio XII,459,2022-01-24 17:22:44.550882
San Martin,122,2022-01-24 17:22:44.550882
Txofre,10,2022-01-24 17:22:44.550882
Zuatzu,0,2022-01-24 17:22:44.550882
Arcco,0,2022-01-24 18:21:07.607823
Atotxa,107,2022-01-24 18:21:07.607823
Boulevard,183,2022-01-24 18:21:07.607823
Buen Pastor,169,2022-01-24 18:21:07.607823
Easo,100,2022-01-24 18:21:07.607823
Estación,241,2022-01-24 18:21:07.607823
Illumbe,0,2022-01-24 18:21:07.607823
Katalunia,210,2022-01-24 18:21:07.607823
Kontxa,433,2022-01-24 18:21:07.607823
Kursaal,167,2022-01-24 18:21:07.607823
Okendo,415,2022-01-24 18:21:07.607823
Ondarreta,0,2022-01-24 18:21:07.607823
Pio XII,458,2022-01-24 18:21:07.607823
San Martin,157,2022-01-24 18:21:07.607823
Txofre,10,2022-01-24 18:21:07.607823
Zuatzu,0,2022-01-24 18:21:07.607823
Arcco,0,2022-01-24 19:16:07.574582
Atotxa,147,2022-01-24 19:16:07.574582
Boulevard,208,2022-01-24 19:16:07.574582
Buen Pastor,232,2022-01-24 19:16:07.574582
Easo,125,2022-01-24 19:16:07.574582
Estación,285,2022-01-24 19:16:07.574582
Illumbe,0,2022-01-24 19:16:07.574582
Katalunia,281,2022-01-24 19:16:07.574582
Kontxa,477,2022-01-24 19:16:07.574582
Kursaal,181,2022-01-24 19:16:07.574582
Okendo,466,2022-01-24 19:16:07.574582
Ondarreta,0,2022-01-24 19:16:07.574582
Pio XII,473,2022-01-24 19:16:07.574582
San Martin,189,2022-01-24 19:16:07.574582
Txofre,10,2022-01-24 19:16:07.574582
Zuatzu,0,2022-01-24 19:16:07.574582
Arcco,0,2022-01-24 20:20:07.405567
Atotxa,181,2022-01-24 20:20:07.405567
Boulevard,267,2022-01-24 20:20:07.405567
Buen Pastor,302,2022-01-24 20:20:07.405567
Easo,145,2022-01-24 20:20:07.405567
Estación,311,2022-01-24 20:20:07.405567
Illumbe,0,2022-01-24 20:20:07.405567
Katalunia,333,2022-01-24 20:20:07.405567
Kontxa,526,2022-01-24 20:20:07.405567
Kursaal,183,2022-01-24 20:20:07.405567
Okendo,540,2022-01-24 20:20:07.405567
Ondarreta,0,2022-01-24 20:20:07.405567
Pio XII,496,2022-01-24 20:20:07.405567
San Martin,239,2022-01-24 20:20:07.405567
Txofre,10,2022-01-24 20:20:07.405567
Zuatzu,0,2022-01-24 20:20:07.405567
Arcco,0,2022-01-24 21:15:30.159033
Atotxa,183,2022-01-24 21:15:30.159033
Boulevard,298,2022-01-24 21:15:30.159033
Buen Pastor,326,2022-01-24 21:15:30.159033
Easo,153,2022-01-24 21:15:30.159033
Estación,319,2022-01-24 21:15:30.159033
Illumbe,0,2022-01-24 21:15:30.159033
Katalunia,351,2022-01-24 21:15:30.159033
Kontxa,544,2022-01-24 21:15:30.159033
Kursaal,181,2022-01-24 21:15:30.159033
Okendo,550,2022-01-24 21:15:30.159033
Ondarreta,0,2022-01-24 21:15:30.159033
Pio XII,492,2022-01-24 21:15:30.159033
San Martin,253,2022-01-24 21:15:30.159033
Txofre,10,2022-01-24 21:15:30.159033
Zuatzu,0,2022-01-24 21:15:30.159033
Arcco,0,2022-01-24 22:19:12.940220
Atotxa,183,2022-01-24 22:19:12.940220
Boulevard,322,2022-01-24 22:19:12.940220
Buen Pastor,328,2022-01-24 22:19:12.940220
Easo,156,2022-01-24 22:19:12.940220
Estación,324,2022-01-24 22:19:12.940220
Illumbe,0,2022-01-24 22:19:12.940220
Katalunia,360,2022-01-24 22:19:12.940220
Kontxa,549,2022-01-24 22:19:12.940220
Kursaal,182,2022-01-24 22:19:12.940220
Okendo,558,2022-01-24 22:19:12.940220
Ondarreta,0,2022-01-24 22:19:12.940220
Pio XII,488,2022-01-24 22:19:12.940220
San Martin,255,2022-01-24 22:19:12.940220
Txofre,10,2022-01-24 22:19:12.940220
Zuatzu,0,2022-01-24 22:19:12.940220
Arcco,0,2022-01-24 23:18:58.686402
Atotxa,183,2022-01-24 23:18:58.686402
Boulevard,329,2022-01-24 23:18:58.686402
Buen Pastor,330,2022-01-24 23:18:58.686402
Easo,156,2022-01-24 23:18:58.686402
Estación,326,2022-01-24 23:18:58.686402
Illumbe,0,2022-01-24 23:18:58.686402
Katalunia,361,2022-01-24 23:18:58.686402
Kontxa,556,2022-01-24 23:18:58.686402
Kursaal,182,2022-01-24 23:18:58.686402
Okendo,560,2022-01-24 23:18:58.686402
Ondarreta,0,2022-01-24 23:18:58.686402
Pio XII,492,2022-01-24 23:18:58.686402
San Martin,256,2022-01-24 23:18:58.686402
Txofre,10,2022-01-24 23:18:58.686402
Zuatzu,0,2022-01-24 23:18:58.686402
Arcco,0,2022-01-25 01:13:13.166620
Atotxa,182,2022-01-25 01:13:13.166620
Boulevard,338,2022-01-25 01:13:13.166620
Buen Pastor,332,2022-01-25 01:13:13.166620
Easo,156,2022-01-25 01:13:13.166620
Estación,326,2022-01-25 01:13:13.166620
Illumbe,0,2022-01-25 01:13:13.166620
Katalunia,363,2022-01-25 01:13:13.166620
Kontxa,560,2022-01-25 01:13:13.166620
Kursaal,183,2022-01-25 01:13:13.166620
Okendo,561,2022-01-25 01:13:13.166620
Ondarreta,0,2022-01-25 01:13:13.166620
Pio XII,491,2022-01-25 01:13:13.166620
San Martin,256,2022-01-25 01:13:13.166620
Txofre,10,2022-01-25 01:13:13.166620
Zuatzu,0,2022-01-25 01:13:13.166620
Arcco,0,2022-01-25 02:35:34.534941
Atotxa,182,2022-01-25 02:35:34.534941
Boulevard,338,2022-01-25 02:35:34.534941
Buen Pastor,333,2022-01-25 02:35:34.534941
Easo,156,2022-01-25 02:35:34.534941
Estación,326,2022-01-25 02:35:34.534941
Illumbe,0,2022-01-25 02:35:34.534941
Katalunia,364,2022-01-25 02:35:34.534941
Kontxa,562,2022-01-25 02:35:34.534941
Kursaal,183,2022-01-25 02:35:34.534941
Okendo,561,2022-01-25 02:35:34.534941
Ondarreta,0,2022-01-25 02:35:34.534941
Pio XII,491,2022-01-25 02:35:34.534941
San Martin,257,2022-01-25 02:35:34.534941
Txofre,10,2022-01-25 02:35:34.534941
Zuatzu,0,2022-01-25 02:35:34.534941
Arcco,0,2022-01-25 03:20:12.167539
Atotxa,182,2022-01-25 03:20:12.167539
Boulevard,340,2022-01-25 03:20:12.167539
Buen Pastor,333,2022-01-25 03:20:12.167539
Easo,156,2022-01-25 03:20:12.167539
Estación,326,2022-01-25 03:20:12.167539
Illumbe,0,2022-01-25 03:20:12.167539
Katalunia,364,2022-01-25 03:20:12.167539
Kontxa,562,2022-01-25 03:20:12.167539
Kursaal,183,2022-01-25 03:20:12.167539
Okendo,561,2022-01-25 03:20:12.167539
Ondarreta,0,2022-01-25 03:20:12.167539
Pio XII,491,2022-01-25 03:20:12.167539
San Martin,258,2022-01-25 03:20:12.167539
Txofre,10,2022-01-25 03:20:12.167539
Zuatzu,0,2022-01-25 03:20:12.167539
Arcco,0,2022-01-25 04:25:34.829168
Atotxa,182,2022-01-25 04:25:34.829168
Boulevard,340,2022-01-25 04:25:34.829168
Buen Pastor,332,2022-01-25 04:25:34.829168
Easo,157,2022-01-25 04:25:34.829168
Estación,324,2022-01-25 04:25:34.829168
Illumbe,0,2022-01-25 04:25:34.829168
Katalunia,364,2022-01-25 04:25:34.829168
Kontxa,562,2022-01-25 04:25:34.829168
Kursaal,183,2022-01-25 04:25:34.829168
Okendo,561,2022-01-25 04:25:34.829168
Ondarreta,0,2022-01-25 04:25:34.829168
Pio XII,491,2022-01-25 04:25:34.829168
San Martin,258,2022-01-25 04:25:34.829168
Txofre,10,2022-01-25 04:25:34.829168
Zuatzu,0,2022-01-25 04:25:34.829168
Arcco,0,2022-01-25 05:17:10.085039
Atotxa,181,2022-01-25 05:17:10.085039
Boulevard,338,2022-01-25 05:17:10.085039
Buen Pastor,332,2022-01-25 05:17:10.085039
Easo,157,2022-01-25 05:17:10.085039
Estación,321,2022-01-25 05:17:10.085039
Illumbe,0,2022-01-25 05:17:10.085039
Katalunia,365,2022-01-25 05:17:10.085039
Kontxa,564,2022-01-25 05:17:10.085039
Kursaal,183,2022-01-25 05:17:10.085039
Okendo,563,2022-01-25 05:17:10.085039
Ondarreta,0,2022-01-25 05:17:10.085039
Pio XII,491,2022-01-25 05:17:10.085039
San Martin,256,2022-01-25 05:17:10.085039
Txofre,10,2022-01-25 05:17:10.085039
Zuatzu,0,2022-01-25 05:17:10.085039
Arcco,0,2022-01-25 06:23:19.926505
Atotxa,180,2022-01-25 06:23:19.926505
Boulevard,336,2022-01-25 06:23:19.926505
Buen Pastor,331,2022-01-25 06:23:19.926505
Easo,160,2022-01-25 06:23:19.926505
Estación,315,2022-01-25 06:23:19.926505
Illumbe,0,2022-01-25 06:23:19.926505
Katalunia,367,2022-01-25 06:23:19.926505
Kontxa,564,2022-01-25 06:23:19.926505
Kursaal,182,2022-01-25 06:23:19.926505
Okendo,566,2022-01-25 06:23:19.926505
Ondarreta,0,2022-01-25 06:23:19.926505
